Question;A;B;C;D;E;Answer;Level
Pewna liczba naturalna N dzieli się przez wszystkie liczby naturalne od 2 do 11 z wyjątkiem dwóch. Która z poniższych par liczb może być tym wyjątkiem?;A) 2 i 3;B) 4 i 5;C) 6 i 7;D) 7 i 8;E) 10 i 11;D;2
Z rana, gdy Anna wybierała dwa smaki lodów, lodziarnia oferowała lody w 16 smakach. Po południu, gdy Beata wybierała trzy smaki lodów, część smaków była już wyprzedana. Okazało się, że Anna i Beata mogły wybierać z tej samej liczby kombinacji. Ile smaków zostało wyprzedanych?;A) 2;B) 3;C) 4;D) 5;E) 6;E;3
2020² − 2019² =;A) 1;B) 2019;C) 2020;D) 4039;E) 4041;D;1
Liczby widniejące w wariantach odpowiedzi ustawiamy od najmniejszej do największej. Która z nich znajdzie się w środku?;A) 1 + 2345;B) 12 + 345;C) 123 + 45;D) 1234 + 5;E) 12345;D;1
Suma czterech kolejnych liczb całkowitych jest równa 2. Najmniejszą z tych czterech liczb jest;A) −3.;B) −2.;C) −1;D) 0.;E) 1.;C;1
Zarówno zapis roku 2020 jak i zapis roku 1717 utworzony jest z liczby dwucyfrowej powtórzonej dwukrotnie. Po ilu latach od roku 2020 po raz pierwszy nastąpi rok, którego zapis ma tę własność?;A) 20;B) 101;C) 120;D) 121;E) 202;B;1
Maria miała 10 kartek. Pewne z nich były kwadratami, a pozostałe trójkątami. Rozcięła 3 kwadratowe kartki na dwie części, każdą wzdłuż przekątnej. Następnie policzyła wierzchołki wszystkich 13 kartek i otrzymała wynik 42. Ile trójkątnych kartek miała Maria na początku?;A) 8;B) 7;C) 6;D) 5;E) 4;E;1
Liczby całkowite a, b, c i d spełniają warunek ab = 2cd. Która z poniższych liczb nie może być równa iloczynowi abcd?;A) 50;B) 100;C) 200;D) 450;E) 800;B;2
Helena zamierza spędzić 18 kolejnych dni u swojej babci. Babcia właśnie czyta Helenie powieść, ale robi to zawsze we wtorki, soboty i niedziele. W którym dniu tygodnia Helena powinna rozpocząć swoją wizytę, aby w czasie jej pobytu u babci liczba dni, w które babcia czyta jej powieść, była jak największa?;A) W poniedziałek;B) We wtorek;C) W piątek.;D) W sobotę.;E) W niedzielę.;D;2
Jeden z boków trójkąta równoramiennego ma długość 20 cm, a jeden z dwóch jego pozostałych boków stanowi 2/5 drugiego. Jaki jest obwód tego trójkąta?;A) 36 cm;B) 48 cm;C) 60 cm;D) 90 cm;E) 120 cm;B;2
Maja postawiła znak mnożenia pomiędzy drugą i trzecią cyfrą liczby 2020 i zauważyła, że otrzymany iloczyn 20 · 20 jest kwadratem liczby naturalnej. Ile liczb naturalnych pomiędzy 2010 i 2099 ma taką własność (łącznie z liczbą 2020)?;A) 1;B) 2;C) 3;D) 4;E) 5;C;2
Żółw i Ślimak brali udział w wyścigu na prostoliniowej trasie długości 5 m. Żółw jest 5 razy szybszy od Ślimaka. Żółw omyłkowo wystartował w kierunku prostopadłym do trasy. Gdy spostrzegł swoją pomyłkę, skorygował kierunek biegu, kierując się prosto na metę. Żółw i Ślimak dotarli do mety w tym samym czasie. Jaki dystans pokonał Żółw od punktu, w którym skorygował kierunek biegu?;A) 11 m;B) 12 m;C) 13 m;D) 14 m;E) 15 m;C;2
Jeżeli 17x + 51y = 102, to 9x + 27y =;A) 54;B) 36.;C) 34;D) 18;E) 12.;A;2
Zapisując cyfry od 1 do 9 w losowej kolejności, otrzymujemy liczbę 9-cyfrową. Jakie jest prawdopodobieństwo, że otrzymamy liczbę podzielną przez 18?;A) 1/2;B) 4/9;C) 5/9;D) 1/3;E) 3/4;B;3
Łukasz wyruszył swoim samochodem w trasę o długości 520 km mając w 40-litrowym baku 14 litrów benzyny. Jego samochód spala 10 litrów benzyny na 100 km. Po przejechaniu 55 km przeczytał informację drogową, z której dowiedział się, w jakiej odległości znajduje się 5 kolejnych stacji benzynowych na jego trasie (innych nie ma). Odległości do nich to: 35 km, 45 km, 55 km, 75 km i 95 km. Łukasz chce przejechać całą trasę, tankując tylko raz. Na której stacji musi zatankować?;A) Odległej o 35 km;B) Odległej o 45 km;C) Odległej o 55 km;D) Odległej o 75 km;E) Odległej o 95 km.;D;3
Na stole leżą trójkąty i kwadraty. Każda z leżących figur jest albo niebieska, albo czerwona. Co więcej, każda z leżących figur jest albo duża, albo mała. Wiadomo, że: • Każda duża figura jest kwadratem. • Każda niebieska figura jest trójkątem. Które z poniższych zdań jest na pewno prawdziwe?;A) Każda czerwona figura jest kwadratem.;B) Każdy kwadrat jest dużą figurą.;C) Każda mała figura jest niebieska;D) Każdy trójkąt jest niebieski.;E) Każda niebieska figura jest małą figurą.;E;3
Z 64 identycznych małych sześcianów zbudowano duży sześcian. Chcemy tak pomalować trzy ściany dużego sześcianu, by liczba małych sześcianów z pomalowaną tylko jedną ścianą była jak największa. Jaka to liczba?;A) 27;B) 32;C) 34;D) 36;E) 48;B;3
Ania, Basia i Celina urządziły konkurs rzutów lotką do tarczy. W każdej rundzie dwie z dziewcząt rzucają na przemian lotką, aż któraś z nich uzyska lepszy wynik, a trzecia z dziewcząt czeka. Zwyciężczyni rundy mierzy się w następnej rundzie z osobą oczekującą. Ania brała udział w dziesięciu rundach, Basia w piętnastu, a Celina w siedemnastu. Która z dziewcząt przegrała drugą rundę?;A) Ania;B) Basia.;C) Celina.;D) Zarówno Ania, jak i Basia mogły przegrać drugą rundę;E) Zarówno Basia, jak i Celina mogły przegrać drugą rundę.;A;3
Każda z ośmiu kolejnych trzycyfrowych liczb naturalnych dzieli się przez swoją cyfrę jedności. Ile wynosi suma cyfr najmniejszej z tych ośmiu liczb?;A) 10;B) 11;C) 12;D) 13;E) 14;D;3
Michał zdefiniował nową operację na liczbach rzeczywistych wzorem x♦y = y − x. Jeśli dla pewnych liczb a, b i c zachodzi równość (a♦b)♦c = a♦(b♦c), to która z poniższych zależności musi dla nich zachodzić?;A) a = b;B) b = c;C) a = c;D) a = 0;E) c = 0;C;1
Ile spośród liczb od 2¹⁰ do 2¹³ włącznie jest podzielnych przez 2¹⁰?;A) 2;B) 4;C) 6;D) 8;E) 16;D;1
Największą potęgą liczby 3 dzielącą 7! + 8! + 9! Jest;A) 3²;B) 3³;C) 3⁴ ;D) 3⁵ ;E) 3⁶;D;1
W tym roku szkolnym liczba dziewcząt w naszej klasie wzrosła o 20%, a liczba chłopców zmniejszyła się o 20%. W rezultacie łączna liczba uczniów w klasie zwiększyła się o 1. Która z poniższych liczb może być aktualną liczbą uczniów w naszej klasie?;A) 22;B) 26;C) 29;D) 31;E) 34;E;2
Trójka dziwaków – Adam, Bronek i Cezary – wychodzi codziennie na spacer. Jeśli Adam nie nakłada kapelusza, to Bronek wychodzi w kapeluszu. Jeśli Bronek nie wychodzi w kapeluszu, to Cezary nakłada kapelusz. Dzisiaj Cezary nie nałożył kapelusza. Kto z całą pewnością wyszedł dzisiaj w kapeluszu?;A) Tylko Adam i Bronek.;B) Tylko Adam;C) Adam, Bronek i Cezary.;D) Ani Adam, ani Bronek.;E) Tylko Bronek.;E;2
Dodatnią liczbę całkowitą n nazywamy liczbą układną, jeśli jej największym dzielnikiem mniejszym od n jest n − 6. Ile jest liczb układnych?;A) 1;B) 2;C) 3;D) 6;E) Nieskończenie wiele.;D;2
Kazik miał dla pewnych liczb całkowitych dodatnich a, b i c obliczyć za pomocą kalkulatora wartość wyrażenia (a + b)/c . Wprowadził po kolei liczbę a, znak +, liczbę b, znak dzielenia ÷ i liczbę c, otrzymując w wyniku 11. Następnie zmienił kolejność, wprowadzając b, +, a, ÷ i c. Ku swojemu zdumieniu otrzymał tym razem wynik 14. Kazik domyślił się, że kalkulator uwzględnia kolejność działań. Jaka jest poprawna wartość (a + b)/c ?;A) 1;B) 2;C) 3;D) 4;E) 5;A;2
Dla ilu liczb całkowitych n liczba |n² − 2n − 3| jest pierwsza?;A) Dla 1.;B) Dla 2.;C) Dla 3.;D) Dla 4.;E) Dla nieskończenie wielu.;E;2
Niech a będzie sumą wszystkich dodatnich dzielników liczby 1024 i niech b będzie ich iloczynem. Wówczas;A) (a − 1)⁵ = b.;B) (a + 1)⁵ = b.;C) a⁵ = b.;D) a⁵ − 1 = b.;E) a⁵ + 1 = b.;D;3
Jaki jest zbiór wszystkich wartości parametru a, dla których równanie 2 − |x| = ax ma dokładnie dwa rozwiązania?;A) (−∞, −1>;B) (−1, 1);C) <1, +∞);D) {0};E) {−1, 1};B;3
Ile różnych płaszczyzn przechodzi przez co najmniej trzy wierzchołki ustalonego sześcianu?;A) 6;B) 8;C) 12;D) 16;E) 20;C;3
W ciągu a₁, a₂, a₃, . . . mamy a₁ = 49, natomiast dla n⩾1 wyraz aₙ₊₁ jest kwadratem liczby otrzymanej przez powiększenie sumy cyfr liczby aₙ o 1. W szczególności a₂= (4 + 9 + 1)² = 196. Ile wynosi a₂₀₁₉?;A) 25;B) 49;C) 64;D) 121;E) 400;C;3
Ze zbioru {1, 2, 3, . . . , 10} wybieramy losowo trzy liczby. Jakie jest prawdopodobieństwo, że jedna z nich jest średnią arytmetyczną dwóch pozostałych?;A) 1/10;B) 1/6;C) 1/4;D) 1/3;E) 1/2;B;3
20 · 19 + 20 + 19 =;A) 389;B) 399;C) 409;D) 419;E) 429;D;1
Model kolejki elektrycznej przejeżdża jedno okrążenie w ciągu 1 minuty i 11 sekund. Ile czasu potrzebuje ten model na przejechanie 6 okrążeń?;A) 7 minut i 36 sekund;B) 7 minut i 26 sekund;C) 7 minut i 16 sekund;D) 7 minut i 6 sekund;E) 6 minut i 56 sekund;D;1
Do parku można wejść, bądź wyjść z niego, jedną z pięciu bram. Monika chce wejść do tego parku i wyjść z niego inną bramą, niż weszła. Na ile sposobów może to zrobić?;A) 25;B) 20;C) 16;D) 15;E) 10;B;1
Ile różnych sum oczek możemy otrzymać przy jednoczesnym rzucie trzema standardowymi sześciennymi kostkami do gry?;A) 14;B) 15;C) 16;D) 17;E) 18;C;1
Przygotowujemy sok pomarańczowy, mieszając koncentrat soku z wodą w proporcji 1 : 7. Koncentrat znajduje się w litrowej butelce. Mamy pół butelki koncentratu. Jaką część posiadanego koncentratu musimy zużyć do przygotowania 2 litrów soku?;A) 1/4;B) 1/2;C) 2/7;D) 4/7;E) Cały koncentrat.;B;2
Kolejne wierzchołki kwadratu oznaczono literami A, B, C i D. Następnie skonstruowano trójkąt równoboczny AEC, wewnątrz którego leży punkt B. Ile stopni ma kąt CBE?;A) 30°;B) 45°;C) 135°;D) 145°;E) 150°;C;2
Dla każdej czwórki a, b, c, d parami różnych liczb spośród liczb naturalnych od 1 do 10 obliczamy wartość wyrażenia a/b + c/d . Najmniejsza wartość, jaką obliczymy tym sposobem, jest równa;A) 2/10 .;B) 3/19;C) 14/45 .;D) 29/90 .;E) 25/72 .;C;2
W zawodach triatlonowych zawodnik kolejno płynie, jedzie rowerem i biegnie. W pewnym triatlonie jazda na rowerze stanowi 3/4 całego dystansu, bieg stanowi 1/5 całego dystansu, a dystans do przepłynięcia to 2 km. Ile kilometrów ma cały dystans tego triatlonu?;A) 10;B) 20;C) 38;D) 40;E) 60;D;2
Suma cyfr numeru telefonicznego postaci a a a b b b b (a≠b) jest liczbą dwucyfrową ab. Ile wynosi suma a + b?;A) 8;B) 15;C) 10;D) 11;E) 12;C;2
Kolejne liczby od 1 do 99 zapisano jedna za drugą. Powstały w ten sposób ciąg cyfr podzielono na trójki cyfr (123)(456)(789)(101)(112). . .(979)(899). Która z poniższych trójek nie występuje w tym ciągu?;A) (222);B) (444);C) (464);D) (646);E) (888);B;3
Ile jest wszystkich płaszczyzn, na których leżą trzy i tylko trzy wierzchołki sześcianu?;A) 4;B) 6;C) 8;D) 12;E) 20;C;3
Na kole kręcącym się wokół swojego środka są zaznaczone dwa punkty. Jeden z nich znajduje się 3 cm dalej od środka niż drugi. Prędkość poruszania się punktu położonego dalej od środka koła jest 2,5 razy większa niż prędkość punktu położonego bliżej środka. Ile wynosi odległość od punktu położonego dalej od środka do środka tego koła?;A) 10 cm;B) 9 cm;C) 8 cm;D) 6 cm;E) 5 cm;E;3
Ile jest takich liczb trzycyfrowych a, że liczby b = 2a + 1 i c = 2b + 1 są również trzycyfrowe oraz w każdej z liczb a, b, c pierwsza i ostatnia cyfra jest taka sama?;A) 0;B) 1;C) 2;D) 3;E) Więcej niż 3.;C;3
Co najmniej ile liczb trzeba usunąć ze zbioru {10, 20, 30, 40, 50, 60, 70, 80, 90}, aby iloczyn liczb pozostałych był kwadratem liczby naturalnej?;A) 5;B) 4;C) 3;D) 2;E) 1;D;3
Ile jest liczb czterocyfrowych, takich że po usunięciu dowolnie wybranej cyfry z jej zapisu dziesiętnego otrzymamy dziesiętny zapis liczby trzycyfrowej, która dzieli wyjściową liczbę czterocyfrową?;A) 5;B) 9;C) 14;D) 19;E) 23;C;3
